months reported,state,county ID,agency,population,violent,property,murder,rape,robbery,assault,burglary,larceny theft,motor vehicle theft,arson
12,MO,05300,LACLEDE,1998,34,218,2,5,1,26,6,135,23,4
12,MO,04809,OAK GROVE,18,0,2,0,0,0,0,0,2,0,0
12,MO,05401,ALMA,391,0,0,0,0,0,0,0,0,0,0
12,MO,05402,CONCORDIA,244,2,3,0,0,0,2,9,2,1,0
12,MO,05403,CORDER,396,0,3,0,0,0,0,3,0,0,0
12,MO,05404,HIGGINSVILLE,474,0,69,0,0,0,0,9,57,3,0
11,MO,05405,LEXINGTON,4635,7,89,0,3,1,3,16,68,5,0
10,MO,05406,ODESSA,5199,7,43,0,1,1,5,12,3,1,0
12,MO,05407,WAVERLY,834,4,2,0,0,0,4,0,2,0,1
04,MO,05408,WELLINGTON,796,0,0,0,0,0,0,0,0,0,0
12,MO,05409,NAPOLEON,22,0,1,0,0,0,0,0,1,0,0
12,MO,09805,BLACKBURN,17,0,0,0,0,0,0,0,0,0,0
12,MO,09806,EMMA,11,0,0,0,0,0,0,0,0,0,0
12,MO,05400,LAFAYETTE,12837,14,146,0,3,0,11,29,14,13,1
12,MO,00502,MONETT,313,6,118,0,0,2,4,3,84,4,1
12,MO,05501,AURORA,7493,92,45,0,5,1,86,16,323,21,1
12,MO,05502,MARIONVILLE,219,3,62,0,1,0,2,1,6,1,0
12,MO,05503,MILLER,689,7,8,0,2,0,5,5,2,1,0
12,MO,05504,MOUNT VERNON,4519,22,83,0,0,0,22,21,61,1,1
12,MO,05505,PIERCE CITY,1263,0,29,0,0,0,0,7,19,3,0
12,MO,05510,VERONA,598,2,11,0,0,0,2,3,8,0,0
12,MO,05500,LAWRENCE,18248,39,33,0,2,2,35,131,158,14,1
12,MO,05601,CANTON,2368,3,36,0,0,0,3,11,22,3,0
12,MO,05603,LA GRANGE,93,7,12,0,0,0,7,3,9,0,0
12,MO,05600,LEWIS,6854,3,19,0,0,0,3,7,12,0,0
12,MO,05701,ELSBERRY,1969,6,29,0,0,1,5,4,23,2,0
12,MO,05702,OLD MONROE,28,0,0,0,0,0,0,0,0,0,0
12,MO,05703,SILEX,313,1,4,0,0,0,1,1,3,0,0
12,MO,05704,TROY,11359,29,278,0,1,0,28,34,239,5,0
12,MO,05705,WINFIELD,1421,4,14,0,0,0,4,2,11,1,0
12,MO,05706,FOLEY,166,0,0,0,0,0,0,0,0,0,0
12,MO,05707,HAWK POINT,674,1,14,0,1,0,0,4,1,0,0
12,MO,05708,MOSCOW MILLS,2517,7,39,0,1,1,5,7,31,1,0
12,MO,05700,LINCOLN,35517,71,233,0,22,2,47,65,15,18,2
12,MO,05801,BROOKFIELD,4365,9,125,0,3,1,5,3,92,3,0
12,MO,05802,BUCKLIN,448,1,15,0,0,0,1,9,3,3,0
12,MO,05803,MARCELINE,214,28,25,0,0,0,28,1,11,4,0
12,MO,05800,LINN,5335,11,7,0,0,0,11,22,41,7,0
12,MO,05901,CHILLICOTHE,9282,21,177,0,4,0,17,32,143,2,1
12,MO,05900,LIVINGSTON,5541,4,28,0,2,0,2,9,17,2,0
12,MO,06001,ANDERSON,1972,19,91,0,1,0,18,16,67,8,0
12,MO,06002,NOEL,183,1,3,0,0,0,1,12,15,3,2
12,MO,06003,PINEVILLE,772,0,3,0,0,0,0,3,0,0,0
12,MO,06004,SOUTHWEST CITY,953,6,21,0,0,0,6,5,14,2,0
12,MO,06005,GOODMAN,1229,2,27,0,0,0,2,16,8,3,0
12,MO,06006,LANAGAN,411,0,0,0,0,0,0,0,0,0,0
12,MO,06000,MCDONALD,15318,111,262,2,25,1,83,52,183,27,2
12,MO,06102,LA PLATA,1354,1,7,0,1,0,0,2,3,2,1
12,MO,06103,MACON,5511,16,137,0,6,1,9,36,99,2,0
12,MO,06100,MACON,8682,24,88,0,0,0,24,37,48,3,6
12,MO,06201,FREDERICKTOWN,415,31,186,0,3,1,27,22,162,2,0
03,MO,06203,MARQUAND,29,0,1,0,0,0,0,0,1,0,0
12,MO,06200,MADISON,8188,22,57,0,1,0,21,13,41,3,0
12,MO,06301,BELLE,133,6,11,0,0,0,6,0,8,3,0
12,MO,06304,VIENNA,61,1,25,0,0,0,1,6,17,2,0
12,MO,06300,MARIES,757,5,61,0,0,0,5,26,31,4,0
12,MO,06401,HANNIBAL,17567,66,838,0,9,6,51,117,693,28,5
12,MO,06402,PALMYRA,3635,0,88,0,0,0,0,5,82,1,0
12,MO,06902,MONROE CITY,56,0,5,0,0,0,0,2,3,0,0
12,MO,06400,MARION,7256,8,175,0,0,0,8,21,141,13,0
12,MO,06500,MERCER,368,3,21,1,0,0,2,6,15,0,0
12,MO,01502,OSAGE BEACH,288,1,18,0,0,0,1,2,16,0,0
12,MO,06601,ELDON,4665,11,27,0,1,2,8,37,155,15,1
12,MO,06602,IBERIA,749,1,1,0,1,0,0,2,8,0,0
12,MO,06603,LAKE OZARK,1539,6,57,0,0,0,6,4,49,4,0
